,Player,Team,GS,MP,FGA,2PA,3PA,FTA,DRB,TOV,EPTS
508,RJ Smith,Colorado,-0.8531982626676459,-0.3841339852391194,-0.6680951630769707,-0.8606839415991421,-0.08876150236028277,-0.37425390511303264,-0.5433130136236319,-0.3463506705566073,2.765860558035486
509,Javon Ruffin,Colorado,-0.8531982626676459,-0.5664343988499038,-0.6680951630769707,-0.8240278381881759,-0.19336456884307632,-0.6348769091441744,-0.4174453717210363,-0.053828910938173054,2.657360288061673
510,Bangot Dak,Colorado,-0.8531982626676459,-0.8307699985855412,-0.8466395983054723,-0.7140595279552778,-0.7163799012570436,-0.5045654071286035,-0.6062468345749298,-0.7851333099842585,1.905517604140917
511,Assane Diop,Colorado,-0.8531982626676459,-0.8307699985855412,-0.8976522940850441,-0.7507156313662439,-0.7686814344984403,-0.7000326601519599,-0.7950482974288233,-0.4926115503658244,1.8827795542126933
512,Harrison Carrington,Colorado,-0.8531982626676459,-0.9766103294741687,-0.9741713377544019,-0.8240278381881759,-0.8732845009812338,-0.6348769091441744,-0.920915939331419,-1.0776550696026928,1.6008475604907293
513,Greg Gerhardt,Colorado,-0.8531982626676459,-1.3776712394178945,-1.2037284687624752,-1.0806205620649387,-0.9255860342226305,-1.025811415190887,-1.2355850440879081,-1.2239159494119098,1.0742003116666208
514,Joe Hurlburt,Colorado,-0.8531982626676459,-1.231830908529267,-1.0251840335339737,-0.9706522518320404,-0.7163799012570436,-1.025811415190887,-1.2355850440879081,-0.7851333099842585,1.3103116144752054
515,Jack Pease,Colorado,-0.8531982626676459,-1.2865210326125023,-0.948664989864616,-1.0806205620649387,-0.4025707018086632,-1.025811415190887,0.02309137493804849,-1.2239159494119098,1.6158067028339467
516,Riley Minix,Morehead State,1.573700634118145,1.6120555437989694,2.4691856273666986,2.4017092619768396,1.5848875613644124,1.8410416291516727,2.918047138697749,2.140084286200083,18.62916284722317
517,Jordan Lathon,Morehead State,1.296340760199769,1.3294899027022538,2.1376031047994815,1.7052432971684837,1.9509982940541897,0.6682381110115344,1.9111060034769836,1.5550407669632147,15.487056358573465
518,Kalil Thomas,Morehead State,1.5043606656385509,1.4388701508687245,1.117349189208044,-0.384154597256583,2.8401243591579344,-0.2439424030974618,1.030032510158814,0.23869284868026105,11.334254193555964
519,Drew Thelwell,Morehead State,1.5043606656385509,1.6667456678822048,0.8877920581999705,0.3856235743737048,1.2710783619160324,0.40761510698039277,0.46362812159713346,2.140084286200083,12.044909065519212
520,Eddie Ricks III,Morehead State,-0.5758383887492697,0.8281637652725967,0.3776651004042523,0.09237474708597616,0.6434599630192714,0.1469921029492509,1.2188339730127074,0.6774754881079124,7.9410009477451045
521,Dieonte Miles,Morehead State,1.2270007917201748,0.4271028553288712,-0.3620189883995397,0.12903085049694213,-0.9255860342226305,0.1469921029492509,0.46362812159713346,-0.053828910938173054,5.482062722840829
522,Trent Scott,Morehead State,-0.8531982626676459,-0.1562584682256389,-0.18347455317103817,-0.09090576996885426,-0.24566610208447298,0.08183635194146541,-0.6691806555262277,0.6774754881079124,4.69671892989723
523,Zach Iyeyemi,Morehead State,-0.5064984202696757,-0.5299743161277469,-0.8211332504156863,-0.5307790109004473,-0.9255860342226305,0.016680600933680057,-0.5433130136236319,-0.3463506705566073,2.595196202685841
524,George Marshall,Morehead State,-0.8531982626676459,-0.8307699985855412,-0.6680951630769707,-0.8606839415991421,-0.14106303560167954,-0.6348769091441744,-0.7321144764775255,-0.7851333099842585,1.9217142855306844
525,Jerone Morton,Morehead State,-0.7145183257084577,-0.2929837784337272,-0.6425888151871848,-0.6774034245443117,-0.3502691685672664,-0.37425390511303264,-0.6062468345749298,0.09243196887104399,3.036945680317528
