,Player,Team,GS,MP,FGA,PTS
436,Chris Johnson,Texas,-0.9769481680979774,-0.9586251681219834,-0.9568821553288339,0.37988812798986826
437,Devon Pryor,Texas,-1.021161851753454,-1.0099905827174644,-1.0215877789655612,0.09469344097672971
438,Alex Anamekwe,Texas,-1.0939171864585693,-1.1019083783507435,-1.0939029046208635,-0.04629201280726658
439,Gavin Perryman,Texas,-1.1158049106186059,-1.101749186681243,-1.0912287463365422,0.05851290902713702
440,Cole Bott,Texas,-1.1653012644629295,-1.1784512303454666,-1.160156168143857,-0.13690071264041892
441,Preston Clark,Texas,-1.1236296913400678,-1.1574677874287405,-1.177770088506525,-0.14726445411747102
442,Tyson Walker,Michigan State,2.328223084400757,2.2936236136768398,2.343070588725901,9.175178518074134
443,Malik Hall,Michigan State,1.206668527043473,1.1988165076631385,1.2303924430665802,6.292075411691666
444,A.J. Hoggard,Michigan State,0.9037864780994299,0.8864606980686897,0.8862809270057809,5.274270713620027
445,Jaden Akins,Michigan State,0.8303602348747656,0.8378754414393967,0.8610301814805114,5.224425309428902
446,Tre Holloman,Michigan State,-0.04085867504686284,-0.11174600773954745,-0.10280074092612186,2.7328041464019237
447,Xavier Booker,Michigan State,-0.48157945231779725,-0.47701120106241474,-0.46354370473010076,1.7421444208751407
448,Jeremy Fears Jr.,Michigan State,-0.485536757388189,-0.4986159879684663,-0.5065493507553771,1.6128620916250438
449,Carson Cooper,Michigan State,-0.5363030644673753,-0.4882394157043365,-0.48964767902454603,1.5280985391848014
450,Mady Sissoko,Michigan State,-0.5206826328099847,-0.5320484137081888,-0.5419604892353421,1.4827140067431772
451,Coen Carr,Michigan State,-0.6066710650426025,-0.582254114254269,-0.5811812242295056,1.3287288523363023
452,Jaxon Kohler,Michigan State,-0.7332313284801607,-0.7277662210719074,-0.8062573546578167,0.7858698222001426
453,Davis Smith,Michigan State,-0.9700524156382195,-0.9726193925398494,-0.9811508718559788,0.43081536100112405
454,Steven Izzo,Michigan State,-1.101719491497031,-1.113992339140081,-1.0785892839228284,-0.0671532254796876
455,Nick Sanders,Michigan State,-1.0920788182298775,-1.0652937746493345,-1.1251981203101153,-0.055409206955869816
456,DJ Horne,NC State,2.0169817041509788,1.9965151039549704,1.9722999803993653,8.316221488117375
457,D.J. Burns,NC State,1.2759563298502703,1.2671054113923332,1.3237870251613595,6.452473882515886
458,Jayden Taylor,NC State,1.0093198030916335,1.0561097710996317,1.0477634969911358,5.64832633407173
